6211,Offices of Physicians ,Other patient care revenue ,All Establishments ,Employer Firms ,"55,102","51,366","52,450",4.7,5,3.4
62133,"Offices of Mental Health Practitioners, (except Physicians) ","Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"1,867","1,678","1,572",5.8,4.8,4.7
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Investment and property income ,All Establishments ,Employer Firms ,"19,957","15,183","20,002",6.4,7.5,7.3
5622,Waste Treatment and Disposal ,Hazardous waste treatment and disposal services ,All Establishments ,Employer Firms ,"5,723","6,032","5,607",5.3,4.6,4.4
511199,All Other Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"1,827","1,742","1,755",8.5,6.1,5.5
5174,Satellite Telecommunications ,Private network services ,All Establishments ,Employer Firms ,"1,843","1,729",S,3.9,4,S
5239X ,Portfolio Management and Investment Advice9 ,Trust products ,All Establishments ,Employer Firms ,"6,083","5,424","5,377",6.2,5.9,8
62133,"Offices of Mental Health Practitioners, (except Physicians) ","Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"1,867","1,678","1,572",5.8,4.8,4.7
56292,Material Recovery Facilities ,Other waste management services ,All Establishments ,Employer Firms ,43,30,29,26.3,6.2,5.8
6216,Home Health Care Services ,Other patient care revenue ,All Establishments ,Employer Firms ,"2,511","2,379","2,304",18.8,11.7,10.8
622,Hospitals ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"16,949","16,254","15,418",16.2,15.5,15.9
62133,"Offices of Mental Health Practitioners, (except Physicians) ","Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"3,557","3,213","2,847",5.1,5.1,5
51112,Periodical Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"7,147","7,466","7,703",6.4,4.6,4.5
56299,All Other Waste Management Services ,Sale or brokerage of nonhazardous recyclable material ,All Establishments ,Employer Firms ,151,173,42,16.8,8.3,15.4
54161,Management Consulting Services10 ,Actuarial consulting (except for employee pensions and other benefits) ,All Establishments ,Employer Firms ,"1,437","1,308","1,214",11.4,10.4,11.8
5417,Scientific Research and Development Services ,Total operating revenue ,Establishments exempt from federal income tax ,Employer Firms ,"33,616","33,394","31,287",2.3,1.9,2.1
54186,Direct Mail Advertising ,Print services for direct mail advertising materials ,All Establishments ,Employer Firms ,"1,739","1,762","1,696",6.2,7.3,7.9
483,Water Transportation ,Sightseeing by water ,All Establishments ,Employer Firms ,S,S,S,S,S,S
483,Water Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"37,630","36,560","34,836",0.7,0.6,0.5
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,100,101,S,29.9,29.9
62132,Offices of Optometrists ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
5415,Computer Systems Design and Related Services ,IT technical support ,All Establishments ,Employer Firms ,"45,107","44,805","42,199",4.5,3.5,3.3
51113,Book Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"3,634","3,673","3,725",6.1,9.5,7.9
54133,Engineering Services ,Engineering advisory and drafting services ,All Establishments ,Employer Firms ,"3,930","4,622","4,724",16.8,18.3,19.3
6239,Other Residential Care Facilities ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,239,221,212,14.2,14.6,12.3
5417,Scientific Research and Development Services ,"Basic and applied research in natural and exact sciences, except biological sciences ",Establishments subject to federal income tax ,Employer Firms ,"9,264","9,102","9,248",7.1,5.7,6.4
511199,All Other Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"1,388","1,306","1,299",9.2,6.4,5.9
51913,Internet Publishing and Broadcasting and Web Search Portals6 ,Publishing and broadcasting of content on the Internet ,All Establishments ,Employer Firms ,"18,070","15,210","14,005",4.4,4.1,3.2
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Management consulting services ,All Establishments ,Employer Firms ,"10,937","9,291","8,026",4.5,4,4.2
6216,Home Health Care Services ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"10,077","9,087","8,678",6.4,4.9,3.8
621399,Offices of All Other Miscellaneous Health Practitioners ,Investment and property income ,All Establishments ,Employer Firms ,S,S,6,S,S,25.1
62131,Offices of Chiropractors ,Total operating revenue ,All Establishments ,Employer Firms ,"11,432","11,005","10,642",2.2,1.8,1.5
  ,  ,,,,,,,,,
621492,Kidney Dialysis Centers ,Other patient care revenue ,All Establishments ,Employer Firms ,594,528,502,3.5,3.3,2.9
5415,Computer Systems Design and Related Services ,IT related training services ,All Establishments ,Employer Firms ,"2,542","2,307","2,349",14,16.2,17.3
561599,All Other Travel Arrangement and Reservation Services ,"Commissions or fees from airline seats, international destinations ",All Establishments ,Employer Firms ,S,13,S,S,4.3,S
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",All other non-patient care revenue ,All Establishments ,Employer Firms ,503,571,503,12.2,11.9,12.8
518,"Data Processing, Hosting, and Related Services5 ",Information technology (IT) technical support services ,All Establishments ,Employer Firms ,"3,138","2,853","2,607",11.7,10.1,8.5
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ",Total operating revenue ,All Establishments ,Employer Firms ,"33,702","32,657","31,948",2,1.8,1.5
51112,Periodical Publishers ,Periodicals - advertising space ,All Establishments ,Employer Firms ,"15,912","16,213","16,076",5.4,4.6,4.5
54186,Direct Mail Advertising ,Total operating revenue ,All Establishments ,Employer Firms ,"11,391","11,092","10,745",3.1,3.5,3.6
6239,Other Residential Care Facilities ,Total operating revenue ,All Establishments ,Employer Firms ,"8,534","8,308","8,196",2.6,2,2.3
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Trading equities on own account - Net gains (losses) ,All Establishments ,Employer Firms ,"3,954","3,757","1,818",5,5.1,6.2
518,"Data Processing, Hosting, and Related Services5 ",Total operating revenue ,All Establishments ,Employer Firms ,"88,670","82,203","76,156",3.9,3.6,3.6
5112,Software Publishers ,Application software publishing - Vertical market application software ,All Establishments ,Employer Firms ,"8,231","8,782","8,263",17.1,11.6,11
711211,Sports Teams and Clubs ,Admissions revenue (excluding admissions taxes) ,Establishments subject to federal income tax ,Employer Firms ,"8,458","8,494","7,846",6.4,7.7,6.6
522,Credit Intermediation and Related Activities ,Loan income from businesses and governments ,All Establishments ,Employer Firms ,"181,470","183,809","197,028",6,5.5,5.7
6232,"Residential Intellectual and Developmental Disability, Mental Health and Substance Abuse Facilities11 ","Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"1,040","1,009",984,13.5,11.9,10.7
62132,Offices of Optometrists ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,86,88,S,24.1,24
622,Hospitals ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"16,949","16,254","15,418",16.2,15.5,15.9
6239,Other Residential Care Facilities ,Other patient care revenue ,All Establishments ,Employer Firms ,S,519,504,S,5.6,6.1
622,Hospitals ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"16,949","16,254","15,418",16.2,15.5,15.9
62131,Offices of Chiropractors ,Investment and property income ,All Establishments ,Employer Firms ,S,24,27,S,15.7,26.7
711212,Racetracks ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"7,681","7,447","7,216",4.7,5,4.9
515111,Radio Networks ,All other operating revenue ,All Establishments ,Employer Firms ,"3,909","3,553","3,374",1.5,1.4,1.4
62142,Outpatient Mental Health and Substance Abuse Centers ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"8,521","8,134","7,846",5.3,4.9,4.5
5417,Scientific Research and Development Services ,Original works of intellectual property ,Establishments exempt from federal income tax ,Employer Firms ,S,42,41,S,9,17.2
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"1,357","1,227","1,129",9.5,7.2,6.8
51112,Periodical Publishers ,Sale or licensing of rights to content ,All Establishments ,Employer Firms ,506,482,475,13.4,15.2,15.3
51219,Postproduction Services and Other Motion Picture and Video Industries ,Total operating revenue ,All Establishments ,Employer Firms ,"5,415","5,590","5,310",3.8,3.9,3.8
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Financial planning and investment management services for individuals ,All Establishments ,Employer Firms ,"15,713","14,430","13,933",2.6,2.1,2.2
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
