54161,Management Consulting Services10 ,"Strategic management consulting, and consulting combined with implementation ",All Establishments ,Employer Firms ,"36,543","33,590","32,110",5.5,4.4,3.8
621491,Other Outpatient Care Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,13,21,15,1.4,1.3,1.2
51111,Newspaper Publishers ,Advertising space ,All Establishments ,Employer Firms ,"18,871","19,731","21,055",2.8,2.6,2.5
62141,Outpatient Care Centers ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,424,380,370,8.3,8.2,7.8
621493,Freestanding Ambulatory Surgical and Emergency Centers ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,S,S,S,S,S
5231X ,Commodity Contracts Dealing and Brokerage8 ,Management of financial market clearing products ,All Establishments ,Employer Firms ,400,427,429,13.3,15.2,10.6
54181,Advertising Agencies ,Total operating revenue ,All Establishments ,Employer Firms ,"39,826","35,437","33,476",5.2,4.3,4.4
5112,Software Publishers ,System software publishing - Network software ,All Establishments ,Employer Firms ,"15,725","14,471","13,911",7.7,8,7.7
561599,All Other Travel Arrangement and Reservation Services ,Commissions or fees from packaged tours ,All Establishments ,Employer Firms ,191,179,168,10.6,14.5,14
54133,Engineering Services ,Engineering advisory and drafting services ,All Establishments ,Employer Firms ,"3,930","4,622","4,724",16.8,18.3,19.3
51223,Music Publishers ,Licensing revenue - Licensing of rights to use musical compositions ,All Establishments ,Employer Firms ,"2,979","2,931","2,948",2.3,2.5,2.4
5112,Software Publishers ,Application software publishing - Vertical market application software ,All Establishments ,Employer Firms ,"8,231","8,782","8,263",17.1,11.6,11
517911,Telecommunications Resellers4 ,Fixed long-distance telephony ,All Establishments ,Employer Firms ,"1,086","1,090","1,227",6.4,7.2,6.4
483,Water Transportation ,Sightseeing by water ,All Establishments ,Employer Firms ,S,S,S,S,S,S
6114,Business Schools and Computer and Management Training ,All other operating revenue ,All Establishments ,Employer Firms ,"1,799","1,740","1,566",12.7,12.6,11.6
51112,Periodical Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"7,147","7,466","7,703",6.4,4.6,4.5
621498,All Other Outpatient Care Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"11,273","10,968","10,722",2,1.9,1.4
62133,"Offices of Mental Health Practitioners, (except Physicians) ",Investment and property income ,All Establishments ,Employer Firms ,S,S,S,S,S,S
51113,Book Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,"3,634","3,673","3,725",6.1,9.5,7.9
54133,Engineering Services ,Power generation and distribution engineering projects ,All Establishments ,Employer Firms ,"17,806","18,375","18,497",13.8,14,14.8
51213,Motion Picture and Video Exhibition ,Coin-operated games and rides ,All Establishments ,Employer Firms ,33,35,34,4.3,3.5,3.5
54111,Offices of Lawyers ,Program service ,Establishments exempt from federal income tax ,Employer Firms ,727,685,704,21.3,19,17.6
62131,Offices of Chiropractors ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,S,S,S,S
6231,Nursing Care Facilities (Skilled Nursing Facilities)11 ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"84,291","83,112","78,620",2.4,2.3,2.3
51224,Sound Recording Studios ,Studio recording ,All Establishments ,Employer Firms ,614,613,605,5.7,6,5.8
6,"Includes 2002 NAICS 516 (Internet Publishing and Broadcasting) and 2002 NAICS 518112 (Web Search Portals).  Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis. ",,,,,,,,,
62132,Offices of Optometrists ,Investment and property income ,All Establishments ,Employer Firms ,12,S,S,12,S,S
486,Pipeline Transportation ,Total operating revenue ,All Establishments ,Employer Firms ,"36,396","35,948","33,665",Z,Z,Z
54161,Management Consulting Services10 ,Actuarial consulting (except for employee pensions and other benefits) ,All Establishments ,Employer Firms ,"1,437","1,308","1,214",11.4,10.4,11.8
621492,Kidney Dialysis Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,81,68,71,19.3,9.8,22.2
483,Water Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"1,662","1,431","1,445",5.4,5.5,5
481,Air Transportation ,"Domestic, scheduled freight transportation by air ",All Establishments ,Employer Firms ,"2,730","2,884","2,238",2.4,2.1,2.8
2211,"Electric Power Generation, Transmission and Distribution ",Sales of energy and resources - Electricity generation and distribution ,All Establishments ,Employer Firms ,"420,151","424,469","407,699",2.1,1.9,1.7
62131,Offices of Chiropractors ,All other non-patient care revenue ,All Establishments ,Employer Firms ,S,135,145,S,16.1,14.3
515111,Radio Networks ,All other operating revenue ,All Establishments ,Employer Firms ,"3,909","3,553","3,374",1.5,1.4,1.4
5121x ,Motion Picture and Video Production and Distribution1 ,International licensing of rights to television programs ,All Establishments ,Employer Firms ,"3,737","3,545","3,175",2.7,1.9,1.9
621493,Freestanding Ambulatory Surgical and Emergency Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"22,730","20,912","19,616",3.3,2.1,2
5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services ",Taxation preparation and representation services for corporate and other clients ,All Establishments ,Employer Firms ,"13,400","11,998","11,639",6.4,4.4,4.5
6114,Business Schools and Computer and Management Training ,"Occupational, technical, and trade; professional development; and management training programs and courses ",All Establishments ,Employer Firms ,"8,307","8,404","7,928",3.4,3.3,3.4
6216,Home Health Care Services ,Other patient care revenue ,All Establishments ,Employer Firms ,"2,511","2,379","2,304",18.8,11.7,10.8
54182,Public Relations Agencies ,Media monitoring and analysis ,All Establishments ,Employer Firms ,93,97,63,17.3,17.4,22.9
621391,Offices of Podiatrists ,All other non-patient care revenue ,All Establishments ,Employer Firms ,51,S,S,22.4,S,S
621492,Kidney Dialysis Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,81,68,71,19.3,9.8,22.2
6233,Community Care Facilities for the Elderly ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,553,512,503,11.1,9.9,9.8
621491,Other Outpatient Care Centers ,Investment and property income ,All Establishments ,Employer Firms ,563,529,472,1.3,1.3,1.3
  ,  ,,,,,,,,,
621493,Freestanding Ambulatory Surgical and Emergency Centers ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"12,665","11,573","10,824",4,2.3,2.2
813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations12 ",Investment and property income ,All Establishments ,Employer Firms ,"19,957","15,183","20,002",6.4,7.5,7.3
54111,Offices of Lawyers ,"Contributions, gifts, and grants received ",Establishments exempt from federal income tax ,Employer Firms ,"2,228","2,252","2,126",9.5,7.9,7.1
5239X ,Portfolio Management and Investment Advice9 ,Financial planning and investment management services for individuals ,All Establishments ,Employer Firms ,"65,449","62,494","60,620",5.8,5.5,4.8
621399,Offices of All Other Miscellaneous Health Practitioners ,"Private insurance (includes Health, Property, and Auto) ",All Establishments ,Employer Firms ,"1,736","1,656","1,521",5.4,5.4,4.8
54131,Architectural Services ,Interior design services ,All Establishments ,Employer Firms ,"2,314","2,021","1,968",14,14.6,13.9
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",All other non-patient care revenue ,All Establishments ,Employer Firms ,503,571,503,12.2,11.9,12.8
515112,Radio Stations ,Total operating revenue ,All Establishments ,Employer Firms ,"12,741","12,167","12,135",2.2,1.9,1.9
51219,Postproduction Services and Other Motion Picture and Video Industries ,Total operating revenue ,All Establishments ,Employer Firms ,"5,415","5,590","5,310",3.8,3.9,3.8
51114,Directory and Mailing List Publishers ,All other operating revenue ,All Establishments ,Employer Firms ,S,545,610,S,11.6,11.1
62134,"Offices of Physical, Occupational and Speech Therapists and Audiologists ",All other non-patient care revenue ,All Establishments ,Employer Firms ,503,571,503,12.2,11.9,12.8
711212,Racetracks ,Total operating revenue ,Establishments subject to federal income tax ,Employer Firms ,"7,681","7,447","7,216",4.7,5,4.9
54181,Advertising Agencies ,Media buying ,All Establishments ,Employer Firms ,"6,689","6,245","6,290",10.7,8.7,9.5
486,Pipeline Transportation ,All other operating revenue ,All Establishments ,Employer Firms ,"2,781","2,777","2,670",Z,Z,Z
6239,Other Residential Care Facilities ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,S,26,S,S,29.2,S
5174,Satellite Telecommunications ,Carrier services ,All Establishments ,Employer Firms ,"1,622","1,519","1,418",5.4,4.6,5.1
5171,Wired Telecommunications Carriers2 ,Carrier services ,All Establishments ,Employer Firms ,"18,722","19,534","18,967",1.8,2.1,2.6
51111,Newspaper Publishers ,Advertising space ,All Establishments ,Employer Firms ,"18,871","19,731","21,055",2.8,2.6,2.5
511191,Greeting Card Publishers ,Greeting cards (paper or internet) ,All Establishments ,Employer Firms ,"2,577","2,597","2,605",1.6,1.2,1.3
621399,Offices of All Other Miscellaneous Health Practitioners ,Total operating revenue ,All Establishments ,Employer Firms ,"5,064","4,779","4,463",4.5,4,4.6
511191,Greeting Card Publishers ,Total operating revenue ,All Establishments ,Employer Firms ,"3,720","3,822","3,852",0.6,0.5,0.4
5231Y ,Investment Banking and Securities Dealing and Brokerage7 ,Financial planning and investment management services for individuals ,All Establishments ,Employer Firms ,"15,713","14,430","13,933",2.6,2.1,2.2
621391,Offices of Podiatrists ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,40,39,38,18.5,25.5,25.4
56152,Tour Operators ,Pre-packaged tours - Domestic travel ,All Establishments ,Employer Firms ,"1,214","1,209","1,234",8.2,9.2,8.7
56299,All Other Waste Management Services ,Total operating revenue ,All Establishments ,Employer Firms ,"4,689","4,126","3,750",5,5.3,5
5417,Scientific Research and Development Services ,Investment and property income ,Establishments exempt from federal income tax ,Employer Firms ,"1,600","1,845","1,127",4,9.4,9
2,"Includes 2002 NAICS 5171 (Wired Telecommunications Carriers), 2002 NAICS 5175 (Cable and Other Program Distribution), and a portion of 2002 NAICS 518111 (Internet Service Providers).  Historical data, 2010 and prior, have been restated to reflect comparable data on the 2007 NAICS basis.",,,,,,,,,
621391,Offices of Podiatrists ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,S,S,4,S,S,23.6
62131,Offices of Chiropractors ,Patient out-of-pocket - Payments from patients and their families ,All Establishments ,Employer Firms ,"3,429","3,146","3,041",2.9,2.4,2.3
51219,Postproduction Services and Other Motion Picture and Video Industries ,All other operating revenue ,All Establishments ,Employer Firms ,553,564,535,8.9,8.4,9.2
6211,Offices of Physicians ,"Contributions, gifts, and grants received ",All Establishments ,Employer Firms ,"2,598","2,664","2,441",19,17.2,17.3
5417,Scientific Research and Development Services ,Basic and applied research in engineering and technology ,Establishments subject to federal income tax ,Employer Firms ,"15,562","17,234","16,130",7.7,12,11
5171,Wired Telecommunications Carriers2 ,Basic programming package ,All Establishments ,Employer Firms ,"60,290","56,480","54,901",0.9,0.7,0.6
5171,Wired Telecommunications Carriers2 ,Premium programming package ,All Establishments ,Employer Firms ,"23,592","23,392","21,246",0.9,0.5,0.5
5171,Wired Telecommunications Carriers2 ,Internet telephony ,All Establishments ,Employer Firms ,"14,173","12,324","10,299",0.8,0.8,0.9
62142,Outpatient Mental Health and Substance Abuse Centers ,All other non-patient care revenue ,All Establishments ,Employer Firms ,367,342,279,14.2,12.3,14.6
6215,Medical and Diagnostic Laboratories ,"Government (includes Medicare, Medicaid, Other Government, and Workers Compensation) ",All Establishments ,Employer Firms ,"10,150","10,433","9,873",2.5,1.9,1.9
621491,Other Outpatient Care Centers ,Total operating revenue ,All Establishments ,Employer Firms ,"7,272","6,867","6,200",1.3,1.3,1.3
56151,Travel Agencies ,"Commissions or fees from airline seats, international destinations ",All Establishments ,Employer Firms ,"1,136","1,139","1,057",15.9,16.4,12.4
56151,Travel Agencies ,Commissions or fees from event tickets ,All Establishments ,Employer Firms ,249,224,210,14.3,14.4,15.3
51222,Integrated Record Production/Distribution ,Licensing revenue - Licensing of rights to use musical recordings ,All Establishments ,Employer Firms ,D,668,791,D,1,0.9
